Key,Id,Shared Comments,Chinese (Simplified)(zh-Hans),Chinese (Simplified)(zh-Hans) Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments
"id_ancient_key_item",240924098560,"","古老钥匙","","Ancient Key","","古老钥匙",""
"id_brass_key_item",410843742208,"","黄铜钥匙","","Brass Key","","黄铜钥匙",""
"id_bronze_key_item",735927468032,"","青铜钥匙","","Bronze Key","","青铜钥匙",""
"id_indigo_key_item",1109711257600,"","靛蓝钥匙","","Indigo Key","","靛蓝钥匙",""
"id_iron_key_item",1287478444032,"","铁质钥匙","","Iron Key","","铁质钥匙",""
"id_silver_key_item",1462162817024,"","银质钥匙","","Silver Key","","银质钥匙",""
"id_copper_coin_item",1980838838272,"","铜币","","Copper Coin","","铜币",""
"id_silver_coin_item",2235407925248,"","银币","","Silver Coin","","银币",""
"id_faded_gold_coin_item",2238901780480,"","褪色的金币","","Faded Gold Coin","","褪色的金币",""
"id_corrupted_herb_item",3637735718912,"","腐化草药","","Corrupted Herb","","腐化草药",""
"id_dark_green_herb_item",3704622284800,"","深绿药草","","Dark Green Herb","","深绿药草",""
"id_faded_herb_item",3787828887552,"","褪色药草","","Faded Herb","","褪色药草",""
"id_spotted_mushrooms_item",4116238696448,"","斑点蘑菇","","Spotted Mushrooms","","斑点蘑菇",""
"id_withered_mushrooms_item",4148031520768,"","枯萎蘑菇","","Withered Mushrooms","","枯萎蘑菇",""
"id_dull_gem_item",4458326130688,"","暗淡的宝石","","Dull Gem","","暗淡的宝石",""
"id_dull_prayer_original_item",4637544546304,"","暗淡祷告原本","","Dull Prayer Original","","暗淡祷告原本",""
"id_eclipse_follower__s_oath_item",4803844505600,"","月食信徒的誓约","","Eclipse Follower's Oath","","月食信徒的誓约",""
"id_hardened_bone_item",5045214117888,"","硬化骨头","","Hardened Bone","","硬化骨头",""
"id_solid_stone_item",5201451941888,"","坚硬的石头","","Solid Stone","","坚硬的石头",""
"id_the_preacher__s_dictionary_item",5307710439424,"","授道者的字典","","The Preacher's Dictionary","","授道者的字典",""
"id_unknown_note_item",5473737768960,"","不明字迹的纸条","","Unknown Note","","不明字迹的纸条",""
"id_unopened_letter_item",5616100835328,"","未拆封的信件","","Unopened Letter","","未拆封的信件",""
"id_withered_branche_item",5709487013888,"","枯萎树枝","","Withered Branche","","枯萎树枝",""
"id_wandering_knight__s_note_item",5795726098432,"","流浪骑士的笔记","","Wandering Knight's Note","","流浪骑士的笔记",""
