Key,Id,Shared Comments,Chinese (Simplified)(zh-Hans),Chinese (Simplified)(zh-Hans) Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments
"id_settings_text",65870626816,""," 设置",""," Settings",""," 设置",""
"id_return_mainmenu_text",142362148864,"","返回主菜单","","Return to Main Menu","","返回主菜单",""
"id_return_desktop_text",455773126656,"","返回桌面","","Return to Desktop","","返回桌面",""
"id_video_text",673214234624,"","视频","","Video","","视频",""
"id_display_mode_text",739362603008,"","显示模式","","Display Mode","","显示模式",""
"id_fullscreen_choice",1014412476416,"","全屏","","Fullscreen","","全屏",""
"id_windowed_choice",1103478521856,"","窗口","","Windowed","","窗口",""
"id_borderless_choice",1220499603456,"","无边框","","Borderless","","无边框",""
"id_aspect_ratio_text",1355027709952,"","画面比例","","Aspect Ratio","","画面比例",""
"id_audio_text",1531062648832,"","音频","","Audio","","音频",""
"id_master_volume_text",1611081580544,"","主音量","","Master Volume","","主音量",""
"id_gameplay_sound_text",1879215046656,"","游戏音效","","Gameplay Sound","","游戏音效",""
"id_background_music_text",2002863128576,"","背景音乐","","Background Music","","背景音乐",""
"id_background_sound_text",2141849780224,"","背景音效","","Background Sound","","背景音效",""
"id_interface_sound_text",2346561175552,"","界面音量","","Interface Sound","","界面音量",""
